subject,gender,trial,shift,max_response,mean_response,slope,p_value
5,F,8,2,18.96959435,5.77730951,0.033247686,2.66454E-15
5,F,9,-2,46.93016299,28.12393418,0.063002704,0
5,F,10,1,26.9596973,9.211487516,-0.046546711,2.42877E-11
5,F,11,2,43.76514686,18.6928847,-0.127017379,0
5,F,12,-2,38.01295424,18.78462931,0.239836962,0
5,F,13,-1,29.75337662,10.96066675,0.070482145,0
5,F,14,0,68.84743906,39.7828066,-0.226440776,0
5,F,15,0,50.51859169,25.74541285,0.090887149,5.72196E-11
5,F,16,-1,47.60762092,25.04069783,0.036286577,8.38046E-07
5,F,17,-2,57.94625048,34.60041854,-0.039224492,7.4346E-08
5,F,18,-2,49.31449735,18.27067472,0.038635361,2.00598E-05
5,F,19,1,73.70967211,37.19010515,0.058223926,0
5,F,20,2,53.6807023,31.14971821,-0.085473673,0
5,F,21,0,58.57108119,24.22350494,-0.02777026,5.72653E-13
5,F,22,-1,31.72394131,20.6027284,0.14884329,0
5,F,23,0,49.71304406,26.29686258,0.114684042,0
5,F,24,-2,33.05505365,16.61209767,0.09167752,0
5,F,25,2,60.41894611,31.27962562,0.009262989,0.019640553
5,F,26,0,14.96822662,5.661849677,-0.051908794,0
5,F,27,2,75.57417455,33.21540671,0.267433437,0
5,F,28,1,73.81860138,44.4506508,-0.21703427,1.59437E-11
5,F,29,-2,58.43657489,16.15055596,0.028943141,3.81713E-05
5,F,30,-1,21.50524939,10.76904622,0.079206429,0
5,F,31,1,17.57423794,5.846317644,-0.073579817,0
5,F,32,0,51.2095985,41.63822726,0.108147321,0
5,F,33,1,30.05243917,10.73212127,-0.046369503,1.55431E-15
5,F,34,-1,23.21776593,12.15378632,0.176593681,0
5,F,35,2,75.92925375,34.98787607,-0.042531827,3.79909E-05
5,F,36,-2,170.0383394,132.0537521,0.079040178,0.001030179
5,F,37,1,67.10537285,36.46603888,-0.105486157,2.24687E-12
5,F,38,-2,20.88997501,10.63260436,0.02929003,0
5,F,39,-1,61.09661976,47.6812514,0.09061149,0
5,F,40,2,21.81873247,10.08784273,0.089727962,0
5,F,41,-2,36.67739748,20.58514313,-0.068851054,0
5,F,42,1,21.14716531,7.378498946,0.006182426,0.299401406
5,F,43,0,47.38600335,12.57093134,-0.039165855,0
5,F,44,-2,41.38091056,17.98561314,0.04597822,0.008982996
5,F,45,1,17.83376329,6.306571947,0.062962586,0
5,F,46,-2,53.45788505,18.73829426,0.011749319,0.203791765
5,F,47,-2,52.44584607,19.29299179,-0.022649469,0.000719466
5,F,48,1,41.49639976,16.69936448,-0.057002733,5.97011E-12
5,F,49,0,35.00593863,15.36578007,-0.055276816,1.55431E-15
5,F,50,-1,48.91415451,25.60297457,0.03247227,7.35804E-06
5,F,51,2,30.76698915,14.38735938,-0.011520548,0.224057596
5,F,52,0,49.87075244,32.35192366,0.020719925,1.52694E-09
5,F,53,2,59.16351568,17.74310251,0.102394385,1.80598E-10
5,F,54,2,19.82281897,9.634761404,0.117664348,0
5,F,55,1,23.35603698,12.78827542,-0.00294951,0.680770853
5,F,56,0,27.65574341,13.09730394,-0.056526763,0
5,F,57,-1,67.81207774,54.74210721,0.106996961,0
5,F,58,1,20.09051141,8.267940951,-0.001843509,0.643656745
5,F,59,-2,51.75898197,28.62184768,-0.092627045,0
5,F,60,-1,21.19038773,12.39766903,0.093427918,0
5,F,61,0,15.84588344,6.648773764,-0.040171889,0
5,F,62,-1,24.2933693,10.98094215,0.117727905,0
5,F,63,1,15.37411939,6.741443237,0.054779792,0
5,F,64,0,18.11875358,7.328121806,-0.01757586,0.003670074
5,F,65,2,23.4222972,9.574653003,0.074041296,0
5,F,66,0,26.95654783,11.31257787,0.031793631,1.87228E-09
5,F,67,1,34.21994476,24.71518978,0.036899668,7.15827E-12
5,F,68,2,21.87230028,8.40664809,0.027544771,1.9984E-15
5,F,69,-2,25.09589708,13.84527394,0.035488928,6.66134E-16
5,F,70,-1,17.10150081,4.965624314,0.049967779,0
5,F,71,0,33.24669586,15.71107187,-0.103004947,0
5,F,72,2,20.64362219,7.905176164,0.103489896,0
5,F,73,1,38.448769,14.47793292,-0.032839031,1.72879E-10
5,F,74,-2,51.84311651,24.26639792,-0.003292271,0.399762443
5,F,75,-1,22.24661746,10.23164092,-0.049807145,0
5,F,76,-1,25.22076532,16.38451954,-0.003185394,0.310262204
5,F,77,1,22.60016865,6.458964438,-0.027584299,0
5,F,78,2,29.18048649,15.67252027,-0.103602458,0
5,F,79,0,24.1948696,8.011650815,-0.072798497,0
5,F,80,-2,45.11679646,22.2160005,-0.095422529,0
5,F,81,-1,23.55321059,14.49305378,-0.059158916,0
5,F,82,1,41.89015119,11.08553215,-0.082870028,0
5,F,83,2,30.71577807,13.90400632,-0.020819224,1.66726E-09
5,F,84,0,8.651100437,4.301904974,-0.148426132,0
5,F,85,-2,27.62458341,13.29044807,-0.051693702,0
5,F,86,0,31.06298329,11.23764334,-0.065139697,0
5,F,87,-2,22.70576367,9.15702283,0.105619414,0
5,F,88,-1,38.35817642,18.81484485,-0.057694933,2.87548E-13
5,F,89,1,20.76386974,8.46257928,-0.005434531,0.425579401
5,F,90,-1,27.54011277,18.67901045,0.149477932,0
5,F,91,-2,25.68244268,5.058008288,0.144984018,0
5,F,92,0,55.70683057,30.95947417,0.089980803,0
5,F,93,2,32.9684314,10.53805753,0.080732784,0
5,F,94,1,60.71301582,36.76440718,-0.1948066,0
5,F,95,1,57.51030658,30.16929328,0.02777325,6.34518E-07
5,F,96,0,24.83738502,8.957111146,-0.035023088,2.6477E-09
5,F,97,2,22.60665499,8.728198467,0.085698171,0
5,F,98,-2,26.26596514,15.08504636,-0.084404765,0
5,F,99,-1,46.01550928,20.39017418,0.272521456,0
5,F,100,1,30.04429841,14.55336838,0.124010029,0
5,F,101,-1,22.65127183,8.574977531,-0.060248204,0
5,F,102,0,47.39513334,25.84141686,-0.046635419,0
5,F,103,-2,79.59927291,44.68539429,-0.138411661,0
5,F,104,1,42.73591671,15.84769203,-0.024734387,0.001704965
5,F,105,-1,37.03514226,11.57111656,0.034155461,1.92881E-07
5,F,106,0,20.65851565,7.977509865,-0.192911308,0
5,F,107,2,34.07163138,14.58918153,-0.155948081,0
5,F,108,-2,19.78754167,7.439146087,-0.097515802,0
