"subject","gender","trial","duration","intensity","pitch","delay","video","stimulus","syllables","speech_rate"
3,"f",15,3.13487,72.21096681,206.3608364,0,1,5,15,4.78488741159921
3,"f",16,3.704846,71.7170185,201.5281868,0,1,4,17,4.58858478867948
3,"f",17,4.417316,73.77601675,212.9959933,200,0,5,15,3.39572717912868
3,"f",18,5.77101,72.82966033,205.5360519,200,1,6,15,2.59919840721122
3,"f",19,7.374068,69.92359516,211.0001598,200,0,9,18,2.44098644059154
3,"f",20,7.231574,66.05071888,207.5911322,200,0,2,15,2.0742372269163
3,"f",21,7.587809,69.31948685,216.4863982,200,0,8,18,2.37222629088318
3,"f",22,7.338444,72.10892658,206.8929114,200,1,2,15,2.04403004233595
3,"f",23,8.727762,68.10095224,214.5498393,200,0,1,18,2.06238437757583
3,"f",24,3.954211,72.15369066,209.2689697,0,0,4,17,4.29921417951647
3,"f",25,3.740469,69.50389373,197.1029714,0,0,7,17,4.54488461206335
3,"f",26,3.84734,69.44054883,191.1573097,0,0,8,18,4.67855713298019
3,"f",27,7.017833,67.28202719,196.8108434,200,0,3,15,2.13741193328482
3,"f",28,6.946585,63.75001418,210.607943,200,1,5,15,2.15933440676246
3,"f",29,3.491105,70.99745492,203.1185086,0,0,10,17,4.86951839030909
3,"f",30,7.80155,64.79865712,202.0399268,200,0,4,17,2.1790541623139
3,"f",31,3.491105,70.70255282,199.8266329,0,1,10,17,4.86951839030909
3,"f",32,9.618349,64.29459911,199.17211,200,1,3,15,1.55951920646672
3,"f",33,4.167952,71.65982341,204.7036942,0,1,9,18,4.31866777736404
3,"f",34,3.526728,70.43304563,206.6022304,0,1,7,17,4.82033204715532
3,"f",35,3.526728,71.14209697,201.194157,0,1,1,18,5.10388099110564
3,"f",36,9.440232,64.67728071,209.2960215,200,1,1,18,1.90673280063456
3,"f",37,2.921128,72.49362883,192.2297432,0,0,3,15,5.13500264281469
3,"f",38,3.491105,70.28451793,194.3959428,0,0,1,18,5.15596064856256
3,"f",39,3.312987,71.22792637,193.5885216,0,0,9,18,5.43316348660589
3,"f",40,3.419858,71.18109004,203.455779,0,1,8,18,5.26337643258872
3,"f",41,3.170493,71.22295688,210.3375451,0,0,9,18,5.67735049407143
3,"f",42,7.374068,67.94050869,208.6540824,200,0,9,18,2.44098644059154
3,"f",43,3.419858,71.50648573,204.6750232,0,1,8,18,5.26337643258872
3,"f",44,9.440232,63.74736797,200.4847161,200,1,6,15,1.5889440005288
3,"f",45,3.704846,69.84292761,200.9891265,0,0,8,18,4.85850154095474
3,"f",46,11.363901,62.76280976,197.6338042,200,1,4,17,1.49596516196331
3,"f",47,8.122162,66.39035584,219.419787,200,0,4,17,2.09303877465138
3,"f",48,3.099246,70.57990541,202.7902333,0,0,5,15,4.8398868628047
3,"f",49,3.597975,71.23822461,200.9434499,0,1,1,18,5.00281408292164
3,"f",50,3.633599,68.8113472,194.8745947,0,0,1,18,4.95376622461642
3,"f",51,3.491104,69.76025514,204.8994804,0,1,10,17,4.86951978514533
3,"f",52,6.625974,64.68928208,198.4851886,200,1,2,15,2.26381811941912
3,"f",53,3.526728,70.21218598,197.9503044,0,0,10,17,4.82033204715532
3,"f",54,8.620891,65.40860292,208.3333291,200,1,8,18,2.08795123381098
3,"f",55,6.447857,64.45384397,208.9253342,200,0,5,15,2.3263543220639
3,"f",56,3.669222,70.99245297,196.3584753,0,1,9,18,4.90567210160628
3,"f",57,3.776093,68.11520735,195.2806609,0,0,4,17,4.50200776305033
3,"f",58,6.910962,65.49067413,198.1808696,200,0,3,15,2.17046483543102
3,"f",59,3.609415,69.29870508,197.6675858,0,1,4,17,4.70990451361232
3,"f",60,2.778635,70.25360198,190.5407557,0,0,2,15,5.39833407410473
3,"f",61,7.08908,65.25324219,197.2833872,200,1,1,18,2.53911650030752
3,"f",62,2.885505,71.94291248,188.6046833,0,1,3,15,5.19839681442243
3,"f",63,6.234115,67.55703015,210.7836601,200,0,1,18,2.88733845942848
3,"f",64,3.24174,69.9943794,196.5381534,0,0,6,15,4.6271446815599
3,"f",65,3.526728,70.48538559,205.4638569,0,1,7,17,4.82033204715532
3,"f",66,6.665652,65.03883035,185.4036008,200,1,3,15,2.25034250212882
3,"f",67,6.020375,64.3449559,208.0010707,200,0,10,17,2.82374436808338
3,"f",68,2.814257,70.41508461,186.4900989,0,0,3,15,5.33000362084913
3,"f",69,3.24174,69.74742479,195.5782373,0,0,7,17,5.24409730576789
3,"f",70,5.735386,66.49304484,200.0063524,200,0,7,17,2.96405507842018
3,"f",71,2.743011,69.31501334,190.4870291,0,1,2,15,5.46844325451119
3,"f",72,7.659057,61.9198984,203.9916063,200,1,10,17,2.21959439654255
3,"f",73,3.134869,70.33121938,196.5564303,0,1,6,15,4.78488893794286
3,"f",74,7.552185,67.19689889,213.3454864,200,1,9,18,2.38341619014894
3,"f",75,7.08908,64.61480224,212.8332516,200,1,5,15,2.11593041692293
3,"f",76,5.201033,67.64349891,206.3084205,200,0,2,15,2.88404245848854
3,"f",77,3.099246,69.86287364,205.9957735,0,1,5,15,4.8398868628047
3,"f",78,7.124703,66.08626012,198.0515655,200,0,6,15,2.10535091778563
3,"f",79,7.765926,66.741844,203.3175118,200,0,8,18,2.31781760475184
3,"f",80,6.910962,70.49967891,207.1932925,200,1,7,17,2.45986014682182
4,"m",1,2.671763,63.23966698,141.3046843,0,0,2,15,5.61427042742938
4,"m",2,4.524187,68.28775775,151.2583703,200,1,9,18,3.97861538437735
4,"m",3,3.882963,68.03161058,150.4405273,200,1,2,15,3.86302934125306
4,"m",4,3.170493,65.80811914,152.9043324,0,0,10,17,5.36194213328968
4,"m",5,4.773552,69.62258664,156.5645701,200,1,10,17,3.56128937110144
4,"m",6,3.669222,63.49945577,155.1883242,0,1,1,18,4.90567210160628
4,"m",7,4.274822,67.49878279,152.666892,200,1,4,17,3.97677376976164
4,"m",8,4.274822,70.86485738,151.4713697,200,0,9,18,4.21070163857115
4,"m",9,4.061081,68.21472163,149.5277972,200,0,10,17,4.18607754930276
4,"m",10,3.455481,67.53020956,152.0247385,0,1,9,18,5.20911560503444
4,"m",11,4.061081,67.43153012,152.0295315,200,0,4,17,4.18607754930276
4,"m",12,4.381693,69.67535047,152.6693845,200,1,8,18,4.10800117671411
4,"m",13,4.203575,69.8725235,151.123624,200,1,6,15,3.56839119083161
4,"m",14,3.704846,69.69291099,156.0538823,200,1,5,15,4.04875128412895
4,"m",15,2.992375,66.83409731,142.1442024,0,0,3,15,5.01274071598647
4,"m",16,3.455481,65.52932042,146.0962538,0,1,8,18,5.20911560503444
4,"m",17,3.348611,63.16316748,148.29252,0,1,4,17,5.07673181507198
4,"m",18,3.95421,66.17461302,141.5509011,200,0,6,15,3.79342523538204
4,"m",19,3.277364,56.31056111,145.0236513,0,1,2,15,4.57684895544102
